response_id,linked_data_benefits,reviewer1_benefits_quality,reviewer2_benefits_quality,reviewer3_benefits_quality,reviewer4_benefits_quality,features_score_total
R_3RwFMkqFX9JmfW1,"1) If a research topic has location-specific aspects, you can link to maps of that location.2) You could expand your research about one creator (e.g., author) to include people that author interacted with.3) You could see your search results on a timeline, then look for other events that happened then that might have affected your topic.",2,2,2,2,8
R_2UhZKI64KvRAZO4,"15cBOOKTRADE is using linked data to create maps to show the distribution of early printed resources. Library users will be able to trace libraries of individual collectors, or trace the paths individual books from their printing to the present.The Linked Jazz project uses name authority records in VIAF to link names mentioned in documents. This allows for deeper searching of documents by linking specific pieces of text within a document, rather than a whole document. This will help users conduct detailed research on jazz musicians.In special collections and rare book librarianship, item-level metadata is very important. This information allows users to identify copy-specific information, such as localized bindings, trace former owners, find text corrections, and so forth. However, current tools do not support this work well. Item-level data tends to reside in local catalogs. As a result, users who start their research in WorldCat risk missing this valuable information completely. Although this project is in its early stages, the rare book community is hoping to leverage linked data to provide item-specific metadata in a more searchable way. This would make special collections more discoverable, and enable users to search for specific provenance information (e.g., reconstructing a library that's been dispersed).",3,2,3,4,12
R_3huxdf73wGbt7Pb,"I have used semantic markup in our website to help create connections between our organization and others through knowledge graph indexing. We are contemplating doing the same with staff pages and the IR. Linked data can provide authority control for metadata, and enrich information objects by providing them with additional depth or connections to tangentially related objects.",3,1,1,4,9
R_1Heh89YzG5Or88r,"There is a Civil War letters website that is based on linked data. Users can select an author and see the connections to other authors and famous people. There are also links to all the battles that author participated in and clicking on a battle gives a list of all the authors present.18th Century Connect is an aggregator of digital scholarship in the humanities related to the 18th century. All contributors contribute their data in the form of linked data. Users can make all sorts of discovery and conclusions by having all kinds of different research connected in ways traditional databases can't do.",2,2,3,3,10
R_1QhkPTQjMMu4rc6,"Another way is to create dynamic knowledge graphs that can be created to provide additional information about subjects as part of a discovery interface.  Also, now there are agents right on your smart phone to find and schedule stuff for you by just asking a question (Siri, Cortana), so you would probably be able to actually check stuff out and load it to your device.",1,0,2,3,6
R_3PG3TJ9HRE4vAK7,Creating an improved user experience like the National Library of Spain. http://www.bne.es/en/Inicio/Perfiles/Bibliotecarios/DatosEnlazados/. Having a set of data that can be used by a wider range of talent to develop new sites/apps/ways of sharing our collections and services. Empowering our users to create things like https://linkedjazz.org/,2,1,1,2,6
R_3hzsSggXmdHKz96,"The ability to find similar information from one source. In other words, if I find something that is of interest I could then find other information that is somehow related to what I found.The ability to find connections between things that were not otherwise obvious. Perhaps there are connections between different concepts, ideas, subject, etc. that we cannot see unless we can see the larger interconnected network of information.",1,1,1,2,5
R_2s7k8YZAek8j8c4,"Disambiguation between people, concepts (i.e. MeSH terms), organizational entities and objects such as publication since they are in principle unique identified.Improved search by linking variations of content to a single identifier. Such as being able to search A. E. Newman and also searching for Alfred E. Newman.",2,2,2,3,9
R_2wAD4kVFzre74r4,"Search for a library-type resource on the Web and find holdings in a specific (local) library; Search a name, place, topic, etc. and find a digital collection of graphic images",1,2,1,1,5
R_2PpWP8hs32AOsux,Allow users to gather like pieces of information - for examples all the books written by authors who live in New York and were born in Atlanta.,1,2,1,1,5
